artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Destiny's Child,"Independent Women, Pt. 1",221133,FALSO,2001,65,783,602,6,-3.782,0,206,362,3.69e-06,169,927,97.954,"pop, R&B"
Destiny's Child,"Independent Women, Pt. 1",221133,FALSO,2001,65,607,602,6,-3.782,0,206,362,3.69e-06,169,927,97.954,"pop, R&B"
Gary Jules,Mad World (Feat. Michael Andrews),189506,FALSO,2001,65,345,581,3,-17.217,1,374,976,366,103,304,174.117,pop
Ginuwine,Differences,265533,FALSO,2001,65,562,594,3,-4.578,0,558,318,0.0,311,423,62.876,"hip hop, pop, R&B"
Jamiroquai,Little L,295400,FALSO,2001,65,878,724,10,-5.373,0,129,168,116,133,904,121.906,pop
Janet Jackson,All For You,329933,FALSO,2001,65,753,934,2,-3.011,1,736,174,65,128,730,113.525,"pop, R&B"
Lasgo,Something,220973,FALSO,2001,65,643,981,7,-6.644,0,439,271,8.93e-05,110,380,140.010,pop
LeAnn Rimes,Can't Fight The Moonlight,215506,FALSO,2001,65,628,834,6,-6.341,0,497,403,0.0,510,626,97.865,"pop, country"
Atomic Kitten,Whole Again,185013,FALSO,2001,66,747,706,4,-4.653,1,413,844,355,174,567,94.019,pop
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,VERDADERO,2001,66,708,587,11,-7.93,0,151,273,0.0,718,554,83.460,"hip hop, pop, R&B"
Jagged Edge,Where the Party At (feat. Nelly),232573,FALSO,2001,67,596,661,5,-6.239,0,226,310,0.0,847,860,129.491,"hip hop, pop, R&B"
Jennifer Lopez,Love Don't Cost a Thing,221226,FALSO,2001,67,786,842,4,-5.115,0,707,305,3.54e-06,473,685,97.577,"hip hop, pop, R&B"
Afroman,Because I Got High,197760,VERDADERO,2001,68,802,341,7,-8.56,1,488,169,0.0,783,849,166.010,hip hop
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,FALSO,2001,68,797,801,5,-3.769,1,534,144,1.49e-05,665,653,109.919,pop
D12,Purple Pills,304506,VERDADERO,2001,68,802,634,1,-5.941,1,160,199,2.98e-05,290,754,125.250,"hip hop, pop, rock"
Missy Elliott,Get Ur Freak On,211120,VERDADERO,2001,68,847,750,0,-9.369,1,247,533,108,950,740,177.870,"hip hop, pop, R&B"
P!nk,Get the Party Started,192533,FALSO,2001,68,528,903,11,-3.267,0,460,11,0.0,173,960,128.930,pop
Travis,Sing,228800,FALSO,2001,68,563,905,4,-5.047,1,497,233,8.14e-06,712,259,163.142,"rock, pop"
